workload,db,strategy,arm,ra_kb,rep,warmup,cold_pct,delivery_pct,first_query_us,preproc_us,e2e_us,avg_us,majflt,minflt,load,memavail_kb
A,orig,baseline,baseline,128,1,1,0.00,0.00,513.70,0.00,513.70,2.44,180.00,270.00,1.10,53994188
B,orig,baseline,baseline,128,1,1,0.00,0.00,728.23,0.00,728.23,2.28,181.00,273.00,1.10,53996748
C,orig,baseline,baseline,128,1,1,0.00,0.00,1057.97,0.00,1057.97,1.60,24.00,25.00,1.10,53997436
A,orig,layers_1,pread,128,1,1,0.00,100.00,633.91,331.46,965.37,2.19,180.00,269.00,1.10,53997424
A,orig,layers_1,async,128,1,1,0.00,100.00,641.88,244.36,886.24,2.19,180.00,269.00,1.10,53998852
A,orig,layers_2,pread,128,1,1,0.00,100.00,631.28,427.20,1058.48,2.19,180.00,269.00,1.10,54012220
A,orig,layers_2,async,128,1,1,0.00,100.00,641.50,243.56,885.06,2.16,180.00,269.00,1.10,54013976
A,orig,layers_3,pread,128,1,1,0.00,100.00,450.01,433.91,883.92,2.16,180.00,269.00,1.10,54014224
A,orig,layers_3,async,128,1,1,0.00,100.00,688.78,241.07,929.85,2.21,180.00,269.00,1.10,54015880
A,orig,layers_5,pread,128,1,1,0.00,100.00,151.77,628.69,780.46,2.19,180.00,271.00,1.10,54016744
A,orig,layers_5,async,128,1,1,0.00,100.00,338.47,251.20,589.67,2.18,180.00,271.00,1.10,54017372
A,orig,layers_8,pread,128,1,1,0.00,100.00,153.48,968.19,1121.67,2.25,180.00,272.00,1.33,54018560
A,orig,layers_8,async,128,1,1,0.00,100.00,300.38,246.53,546.91,2.14,180.00,271.00,1.33,54019192
A,orig,layers_13,pread,128,1,1,0.00,100.00,153.02,1430.60,1583.62,2.16,178.00,281.00,1.33,54019764
A,orig,layers_13,async,128,1,1,0.00,100.00,334.32,263.08,597.40,2.16,179.00,278.00,1.33,54021712
A,orig,layers_21,pread,128,1,1,0.00,100.00,152.40,2128.43,2280.83,2.38,177.00,286.00,1.33,54014852
A,orig,layers_21,async,128,1,1,0.00,100.00,299.58,269.81,569.39,2.18,178.00,283.00,1.33,54015708
A,orig,layers_34,pread,128,1,1,0.00,100.00,152.89,3212.55,3365.44,2.19,177.00,286.00,1.33,54016404
A,orig,layers_34,async,128,1,1,0.00,100.00,380.14,283.21,663.35,2.14,178.00,283.00,1.33,54016316
A,orig,layers_46,pread,128,1,1,0.00,100.00,160.43,4250.80,4411.23,2.17,177.00,286.00,1.33,54016284
A,orig,layers_46,async,128,1,1,0.00,100.00,307.33,301.14,608.47,2.18,178.00,283.00,1.33,54017244
A,orig,layers_64,pread,128,1,1,0.00,100.00,453.23,5700.15,6153.38,2.22,177.00,286.00,1.33,54018000
A,orig,layers_64,async,128,1,1,0.00,100.00,333.37,357.77,691.14,2.19,178.00,283.00,1.33,54018780
A,orig,layers_92,pread,128,1,1,0.00,100.00,149.60,8032.29,8181.89,2.19,177.00,286.00,1.33,54013332
A,orig,layers_92,async,128,1,1,0.00,100.00,337.94,379.73,717.67,2.35,178.00,283.00,1.33,54024492
B,orig,layers_1,pread,128,1,1,0.00,100.00,680.13,332.35,1012.48,2.30,182.00,271.00,1.33,54025096
B,orig,layers_1,async,128,1,1,0.00,100.00,687.27,238.28,925.55,2.27,182.00,271.00,1.39,54025648
B,orig,layers_2,pread,128,1,1,0.00,100.00,698.25,427.74,1125.99,2.35,182.00,271.00,1.39,54025728
B,orig,layers_2,async,128,1,1,0.00,100.00,704.30,244.80,949.10,2.32,182.00,271.00,1.39,54026148
B,orig,layers_3,pread,128,1,1,0.00,100.00,702.96,434.89,1137.85,2.32,181.00,272.00,1.39,54026052
B,orig,layers_3,async,128,1,1,0.00,100.00,693.57,244.21,937.78,2.38,182.00,271.00,1.39,54026660
B,orig,layers_5,pread,128,1,1,0.00,100.00,383.16,623.80,1006.96,2.31,181.00,273.00,1.39,54027024
B,orig,layers_5,async,128,1,1,0.00,100.00,1070.11,248.11,1318.22,2.32,182.00,272.00,1.39,54026876
B,orig,layers_8,pread,128,1,1,0.00,100.00,377.85,940.61,1318.46,2.31,181.00,272.00,1.39,54004460
B,orig,layers_8,async,128,1,1,0.00,100.00,379.17,248.10,627.27,2.29,182.00,270.00,1.39,54014140
B,orig,layers_13,pread,128,1,1,0.00,100.00,559.61,1455.67,2015.28,2.28,182.00,275.00,1.39,54013464
B,orig,layers_13,async,128,1,1,0.00,100.00,388.74,256.41,645.15,2.31,183.00,272.00,1.39,54015756
B,orig,layers_21,pread,128,1,1,0.00,100.00,390.36,2157.57,2547.93,2.29,180.00,281.00,1.39,54015028
B,orig,layers_21,async,128,1,1,0.00,100.00,403.03,269.41,672.44,2.36,181.00,278.00,1.39,54014548
B,orig,layers_34,pread,128,1,1,0.00,100.00,388.87,3307.36,3696.23,2.28,180.00,280.00,1.39,54015272
B,orig,layers_34,async,128,1,1,0.00,100.00,381.43,298.37,679.80,2.28,181.00,278.00,1.39,54014636
B,orig,layers_46,pread,128,1,1,0.00,100.00,398.98,6074.09,6473.07,2.36,180.00,281.00,1.52,54008576
B,orig,layers_46,async,128,1,1,0.00,100.00,378.25,252.13,630.38,2.24,181.00,278.00,1.52,54018468
B,orig,layers_64,pread,128,1,1,0.00,100.00,390.99,5763.99,6154.98,2.27,180.00,281.00,1.52,54019004
B,orig,layers_64,async,128,1,1,0.00,100.00,390.20,332.27,722.47,2.35,181.00,278.00,1.52,54019044
B,orig,layers_92,pread,128,1,1,0.00,100.00,390.80,8196.16,8586.96,2.28,180.00,281.00,1.52,54019804
B,orig,layers_92,async,128,1,1,0.00,100.00,377.02,379.49,756.51,2.25,181.00,278.00,1.52,54019352
C,orig,layers_1,pread,128,1,1,0.00,100.00,1020.89,329.14,1350.03,1.60,24.00,25.00,1.52,54020304
C,orig,layers_1,async,128,1,1,0.00,100.00,1030.78,245.26,1276.04,1.62,24.00,25.00,1.52,54020352
C,orig,layers_2,pread,128,1,1,0.00,100.00,1019.89,10185.84,11205.73,1.61,24.00,25.00,1.52,54019648
C,orig,layers_2,async,128,1,1,0.00,100.00,1029.63,245.23,1274.86,1.61,24.00,25.00,1.52,54019996
C,orig,layers_3,pread,128,1,1,0.00,100.00,1008.76,401.49,1410.25,1.60,24.00,25.00,1.52,54019916
C,orig,layers_3,async,128,1,1,0.00,100.00,1020.62,213.88,1234.50,1.60,24.00,25.00,1.52,54020428
C,orig,layers_5,pread,128,1,1,0.00,100.00,1014.30,629.51,1643.81,1.62,24.00,25.00,1.52,54020160
C,orig,layers_5,async,128,1,1,0.00,100.00,1025.47,251.78,1277.25,1.60,24.00,25.00,1.52,54020712
C,orig,layers_8,pread,128,1,1,0.00,100.00,1021.91,973.66,1995.57,1.60,24.00,25.00,1.52,54020084
C,orig,layers_8,async,128,1,1,0.00,100.00,1017.21,254.30,1271.51,1.60,24.00,25.00,1.52,54020500
C,orig,layers_13,pread,128,1,1,0.00,100.00,1009.51,1469.27,2478.78,1.62,24.00,25.00,1.52,54020212
C,orig,layers_13,async,128,1,1,0.00,100.00,1016.16,256.41,1272.57,1.61,24.00,25.00,1.52,54021148
C,orig,layers_21,pread,128,1,1,0.00,100.00,1013.89,2049.62,3063.51,1.60,24.00,25.00,1.56,54020692
C,orig,layers_21,async,128,1,1,0.00,100.00,1027.72,169.55,1197.27,1.64,24.00,25.00,1.56,54021572
C,orig,layers_34,pread,128,1,1,0.00,100.00,1015.30,3224.72,4240.02,1.62,24.00,25.00,1.56,54021268
C,orig,layers_34,async,128,1,1,0.00,100.00,941.75,247.16,1188.91,1.59,24.00,25.00,1.56,54021840
C,orig,layers_46,pread,128,1,1,0.00,100.00,1012.25,4189.59,5201.84,1.59,24.00,25.00,1.56,54008240
C,orig,layers_46,async,128,1,1,0.00,100.00,1010.69,297.91,1308.60,1.61,24.00,25.00,1.56,54010088
C,orig,layers_64,pread,128,1,1,0.00,100.00,1027.98,5685.61,6713.59,1.60,24.00,25.00,1.56,54010356
C,orig,layers_64,async,128,1,1,0.00,100.00,1016.70,323.39,1340.09,1.59,24.00,25.00,1.56,54011492
C,orig,layers_92,pread,128,1,1,0.00,100.00,635.23,8139.67,8774.90,1.61,24.00,25.00,1.56,54011056
C,orig,layers_92,async,128,1,1,0.00,100.00,640.64,384.71,1025.35,1.61,24.00,25.00,1.56,54011816
A,orig,baseline,baseline,128,2,0,0.00,0.00,496.26,0.00,496.26,2.18,180.00,270.00,1.56,54012376
B,orig,baseline,baseline,128,2,0,0.00,0.00,722.19,0.00,722.19,2.25,181.00,273.00,1.56,54012656
C,orig,baseline,baseline,128,2,0,0.00,0.00,1065.06,0.00,1065.06,1.60,24.00,25.00,1.56,54013392
A,orig,layers_1,pread,128,2,0,0.00,100.00,643.95,324.66,968.61,2.18,180.00,269.00,1.56,54012288
A,orig,layers_1,async,128,2,0,0.00,100.00,640.93,242.84,883.77,2.24,180.00,269.00,1.56,54012804
A,orig,layers_2,pread,128,2,0,0.00,100.00,630.86,419.07,1049.93,2.18,180.00,269.00,1.56,54012444
A,orig,layers_2,async,128,2,0,0.00,100.00,641.40,242.78,884.18,2.20,180.00,269.00,1.56,54012500
A,orig,layers_3,pread,128,2,0,0.00,100.00,455.99,430.44,886.43,2.15,180.00,269.00,1.59,54012872
A,orig,layers_3,async,128,2,0,0.00,100.00,639.67,243.13,882.80,2.17,180.00,269.00,1.59,54013576
A,orig,layers_5,pread,128,2,0,0.00,100.00,150.42,617.81,768.23,2.20,180.00,271.00,1.59,54013456
A,orig,layers_5,async,128,2,0,0.00,100.00,329.35,243.58,572.93,2.19,180.00,271.00,1.59,54013288
A,orig,layers_8,pread,128,2,0,0.00,100.00,153.04,966.15,1119.19,2.19,180.00,272.00,1.59,54013776
A,orig,layers_8,async,128,2,0,0.00,100.00,330.91,250.10,581.01,2.26,180.00,271.00,1.59,54013820
A,orig,layers_13,pread,128,2,0,0.00,100.00,157.74,1486.34,1644.08,2.15,178.00,281.00,1.59,54014048
A,orig,layers_13,async,128,2,0,0.00,100.00,329.69,254.13,583.82,2.15,179.00,278.00,1.59,54001144
A,orig,layers_21,pread,128,2,0,0.00,100.00,152.97,2154.78,2307.75,2.23,177.00,286.00,1.59,54001804
A,orig,layers_21,async,128,2,0,0.00,100.00,335.89,267.14,603.03,2.15,178.00,283.00,1.59,54002000
A,orig,layers_34,pread,128,2,0,0.00,100.00,152.07,3235.35,3387.42,2.16,177.00,286.00,1.59,54002220
A,orig,layers_34,async,128,2,0,0.00,100.00,379.95,288.86,668.81,2.16,178.00,283.00,1.59,54002104
A,orig,layers_46,pread,128,2,0,0.00,100.00,162.44,4266.39,4428.83,2.16,177.00,286.00,1.59,54002960
A,orig,layers_46,async,128,2,0,0.00,100.00,334.67,299.20,633.87,2.17,178.00,283.00,1.59,54002960
A,orig,layers_64,pread,128,2,0,0.00,100.00,152.59,5766.91,5919.50,2.15,177.00,286.00,1.59,54003652
A,orig,layers_64,async,128,2,0,0.00,100.00,414.33,331.44,745.77,2.13,178.00,283.00,1.59,54003720
A,orig,layers_92,pread,128,2,0,0.00,100.00,754.19,8639.33,9393.52,2.19,177.00,286.00,1.62,54004296
A,orig,layers_92,async,128,2,0,0.00,100.00,377.95,375.14,753.09,2.13,178.00,283.00,1.62,54004436
B,orig,layers_1,pread,128,2,0,0.00,100.00,690.71,326.15,1016.86,2.27,182.00,271.00,1.62,54004644
B,orig,layers_1,async,128,2,0,0.00,100.00,693.80,243.66,937.46,2.44,182.00,271.00,1.62,54006412
B,orig,layers_2,pread,128,2,0,0.00,100.00,695.81,423.39,1119.20,2.29,182.00,271.00,1.62,54008100
B,orig,layers_2,async,128,2,0,0.00,100.00,699.01,239.12,938.13,2.27,182.00,271.00,1.62,54008024
B,orig,layers_3,pread,128,2,0,0.00,100.00,686.09,427.93,1114.02,2.36,181.00,272.00,1.62,54009916
B,orig,layers_3,async,128,2,0,0.00,100.00,686.43,242.28,928.71,2.31,182.00,271.00,1.62,54010020
B,orig,layers_5,pread,128,2,0,0.00,100.00,371.04,617.42,988.46,2.27,181.00,273.00,1.62,54010716
B,orig,layers_5,async,128,2,0,0.00,100.00,391.46,245.23,636.69,2.36,182.00,272.00,1.62,54003756
B,orig,layers_8,pread,128,2,0,0.00,100.00,389.71,965.79,1355.50,2.26,181.00,272.00,1.62,54018428
B,orig,layers_8,async,128,2,0,0.00,100.00,372.10,246.27,618.37,2.26,182.00,270.00,1.62,54018688
B,orig,layers_13,pread,128,2,0,0.00,100.00,391.63,1479.63,1871.26,2.45,182.00,275.00,1.62,54021772
B,orig,layers_13,async,128,2,0,0.00,100.00,390.81,254.38,645.19,2.27,183.00,272.00,1.62,54022252
B,orig,layers_21,pread,128,2,0,0.00,100.00,380.97,2143.52,2524.49,2.27,180.00,280.00,1.62,54022104
B,orig,layers_21,async,128,2,0,0.00,100.00,388.17,261.96,650.13,2.35,181.00,278.00,1.73,54024176
B,orig,layers_34,pread,128,2,0,0.00,100.00,381.80,3248.84,3630.64,2.27,180.00,280.00,1.73,54023796
B,orig,layers_34,async,128,2,0,0.00,100.00,382.41,287.44,669.85,2.31,181.00,278.00,1.73,54347396
B,orig,layers_46,pread,128,2,0,0.00,100.00,1349.71,4062.22,5411.93,2.35,180.00,281.00,1.73,53991872
B,orig,layers_46,async,128,2,0,0.00,100.00,382.34,299.64,681.98,2.26,181.00,278.00,1.73,53992372
B,orig,layers_64,pread,128,2,0,0.00,100.00,383.02,10228.65,10611.67,2.25,180.00,281.00,1.73,53993136
B,orig,layers_64,async,128,2,0,0.00,100.00,387.57,330.57,718.14,2.28,181.00,278.00,1.73,53996244
B,orig,layers_92,pread,128,2,0,0.00,100.00,388.82,8102.48,8491.30,2.32,180.00,281.00,1.73,53997360
B,orig,layers_92,async,128,2,0,0.00,100.00,387.76,394.49,782.25,2.43,181.00,278.00,1.73,53997992
C,orig,layers_1,pread,128,2,0,0.00,100.00,1028.17,324.53,1352.70,1.63,24.00,25.00,1.73,54001604
C,orig,layers_1,async,128,2,0,0.00,100.00,1031.65,241.69,1273.34,1.63,24.00,25.00,1.73,53987512
C,orig,layers_2,pread,128,2,0,0.00,100.00,1024.57,424.84,1449.41,1.61,24.00,25.00,1.73,53998936
C,orig,layers_2,async,128,2,0,0.00,100.00,1020.46,243.86,1264.32,1.61,24.00,25.00,1.73,54008532
C,orig,layers_3,pread,128,2,0,0.00,100.00,1009.73,427.67,1437.40,1.63,24.00,25.00,1.73,54007920
C,orig,layers_3,async,128,2,0,0.00,100.00,1686.23,243.90,1930.13,1.64,24.00,25.00,1.73,54008064
C,orig,layers_5,pread,128,2,0,0.00,100.00,1023.07,624.55,1647.62,1.63,24.00,25.00,1.73,54007716
C,orig,layers_5,async,128,2,0,0.00,100.00,1020.28,244.90,1265.18,1.63,24.00,25.00,1.76,54010044
C,orig,layers_8,pread,128,2,0,0.00,100.00,1015.26,967.05,1982.31,1.65,24.00,25.00,1.76,54010344
C,orig,layers_8,async,128,2,0,0.00,100.00,1018.12,248.58,1266.70,1.62,24.00,25.00,1.76,54010820
C,orig,layers_13,pread,128,2,0,0.00,100.00,1023.93,1463.14,2487.07,1.62,24.00,25.00,1.76,54011732
C,orig,layers_13,async,128,2,0,0.00,100.00,1020.73,257.43,1278.16,1.64,24.00,25.00,1.76,54012916
C,orig,layers_21,pread,128,2,0,0.00,100.00,1019.32,2016.93,3036.25,1.63,24.00,25.00,1.76,54013036
C,orig,layers_21,async,128,2,0,0.00,100.00,1015.66,273.03,1288.69,1.63,24.00,25.00,1.76,54013696
C,orig,layers_34,pread,128,2,0,0.00,100.00,1015.85,3132.75,4148.60,1.62,24.00,25.00,1.76,54013652
C,orig,layers_34,async,128,2,0,0.00,100.00,1023.12,236.97,1260.09,1.64,24.00,25.00,1.76,54015260
C,orig,layers_46,pread,128,2,0,0.00,100.00,1025.62,4242.75,5268.37,1.63,24.00,25.00,1.76,54015396
C,orig,layers_46,async,128,2,0,0.00,100.00,1009.30,260.02,1269.32,1.61,24.00,25.00,1.76,54015756
C,orig,layers_64,pread,128,2,0,0.00,100.00,1022.44,5668.01,6690.45,1.60,24.00,25.00,1.76,54015444
C,orig,layers_64,async,128,2,0,0.00,100.00,955.96,282.04,1238.00,1.60,24.00,25.00,1.76,54015720
C,orig,layers_92,pread,128,2,0,0.00,100.00,635.62,8092.38,8728.00,1.61,24.00,25.00,1.76,54016176
C,orig,layers_92,async,128,2,0,0.00,100.00,629.24,328.67,957.91,1.61,24.00,25.00,1.76,54017388
A,orig,baseline,baseline,128,3,0,0.00,0.00,490.25,0.00,490.25,2.14,180.00,270.00,1.76,54016332
