workload,db,strategy,arm,n,ra_kb,fq_median,fq_p95,fq_min,fq_stdev,delivery_pct_median,preproc_us_median,e2e_median,cold_pct_max
A,orig,baseline,baseline,3,128,504.56,,496.49,4.42,0.0,0.00,504.56,0.0
A,orig,layers_1,async,3,128,663.32,,637.87,23.04,100.0,297.00,959.50,0.0
A,orig,layers_1,pread,1,128,638.19,,638.19,0,100.0,374.70,1012.89,0.0
A,orig,layers_12,async,3,128,302.39,,300.70,22.58,100.0,312.60,617.76,0.0
A,orig,layers_12,pread,1,128,150.33,,150.33,0,100.0,1391.79,1542.12,0.0
A,orig,layers_16,async,3,128,331.24,,295.11,18.43,100.0,320.54,654.86,0.0
A,orig,layers_16,pread,1,128,156.01,,156.01,0,100.0,1767.45,1923.46,0.0
A,orig,layers_2,async,3,128,639.39,,633.56,14.82,100.0,297.96,937.35,0.0
A,orig,layers_2,pread,1,128,563.31,,563.31,0,100.0,473.43,1036.74,0.0
A,orig,layers_24,async,3,128,333.67,,332.81,24.61,100.0,326.49,663.22,0.0
A,orig,layers_24,pread,1,128,155.18,,155.18,0,100.0,2460.97,2616.15,0.0
A,orig,layers_3,async,3,128,661.79,,641.96,19.03,100.0,297.29,957.38,0.0
A,orig,layers_3,pread,1,128,467.28,,467.28,0,100.0,484.01,951.29,0.0
A,orig,layers_32,async,3,128,335.21,,333.25,18.77,100.0,339.34,676.52,0.0
A,orig,layers_32,pread,1,128,152.52,,152.52,0,100.0,3115.20,3267.72,0.0
A,orig,layers_4,async,3,128,333.77,,330.27,18.76,100.0,298.46,634.24,0.0
A,orig,layers_4,pread,1,128,150.42,,150.42,0,100.0,571.75,722.17,0.0
A,orig,layers_46,async,3,128,327.40,,301.82,13.57,100.0,360.02,681.92,0.0
A,orig,layers_46,pread,1,128,152.98,,152.98,0,100.0,4203.25,4356.23,0.0
A,orig,layers_5,async,3,128,333.35,,332.02,1.05,100.0,300.22,633.57,0.0
A,orig,layers_5,pread,1,128,151.62,,151.62,0,100.0,679.21,830.83,0.0
A,orig,layers_6,async,3,128,331.36,,330.89,0.62,100.0,300.85,632.76,0.0
A,orig,layers_6,pread,1,128,161.66,,161.66,0,100.0,756.31,917.97,0.0
A,orig,layers_64,async,3,128,332.25,,331.99,0.89,100.0,381.10,715.09,0.0
A,orig,layers_64,pread,1,128,154.75,,154.75,0,100.0,5893.90,6048.65,0.0
A,orig,layers_8,async,3,128,331.15,,330.48,2.66,100.0,304.92,635.40,0.0
A,orig,layers_8,pread,1,128,153.31,,153.31,0,100.0,1024.31,1177.62,0.0
A,orig,layers_92,async,3,128,332.56,,328.81,3.29,100.0,438.53,773.33,0.0
A,orig,layers_92,pread,1,128,153.71,,153.71,0,100.0,8318.61,8472.32,0.0
A,ta,baseline,baseline,3,128,680.59,,649.88,16.39,0.0,0.00,680.59,0.0
A,ta,layers_1,async,3,128,893.78,,799.34,45.83,100.0,298.26,1192.03,0.0
A,ta,layers_1,pread,1,128,893.63,,893.63,0,100.0,382.87,1276.50,0.0
A,ta,layers_12,async,3,128,490.42,,488.06,1.29,100.0,307.70,798.75,0.0
A,ta,layers_12,pread,1,128,489.69,,489.69,0,100.0,643.49,1133.18,0.0
A,ta,layers_16,async,3,128,482.23,,481.67,0.86,100.0,315.00,796.67,0.0
A,ta,layers_16,pread,1,128,476.25,,476.25,0,100.0,882.19,1358.44,0.0
A,ta,layers_2,async,3,128,866.28,,831.04,23.99,100.0,299.96,1166.24,0.0
A,ta,layers_2,pread,1,128,485.45,,485.45,0,100.0,474.02,959.47,0.0
A,ta,layers_24,async,3,128,470.14,,466.46,5.69,100.0,324.24,793.28,0.0
A,ta,layers_24,pread,1,128,498.00,,498.00,0,100.0,909.70,1407.70,0.0
A,ta,layers_3,async,3,128,855.71,,801.54,25.92,100.0,299.62,1154.53,0.0
A,ta,layers_3,pread,1,128,483.84,,483.84,0,100.0,484.38,968.22,0.0
A,ta,layers_32,async,3,128,459.38,,456.79,1.38,100.0,337.04,796.42,0.0
A,ta,layers_32,pread,1,128,480.86,,480.86,0,100.0,1049.08,1529.94,0.0
A,ta,layers_4,async,3,128,496.11,,493.80,1.75,100.0,302.34,798.45,0.0
A,ta,layers_4,pread,1,128,481.89,,481.89,0,100.0,484.42,966.31,0.0
A,ta,layers_46,async,3,128,489.25,,482.60,4.09,100.0,315.30,804.38,0.0
A,ta,layers_46,pread,1,128,479.68,,479.68,0,100.0,939.33,1419.01,0.0
A,ta,layers_5,async,3,128,498.39,,494.44,3.63,100.0,303.99,803.19,0.0
A,ta,layers_5,pread,1,128,483.33,,483.33,0,100.0,477.83,961.16,0.0
A,ta,layers_6,async,3,128,498.31,,482.97,7.69,100.0,304.31,801.70,0.0
A,ta,layers_6,pread,1,128,504.66,,504.66,0,100.0,662.91,1167.57,0.0
A,ta,layers_64,async,3,128,463.50,,460.90,1.57,100.0,334.92,798.66,0.0
A,ta,layers_64,pread,1,128,186.07,,186.07,0,100.0,1008.22,1194.29,0.0
A,ta,layers_8,async,3,128,498.31,,494.09,3.62,100.0,303.17,797.88,0.0
A,ta,layers_8,pread,1,128,507.42,,507.42,0,100.0,664.02,1171.44,0.0
A,ta,layers_92,async,3,128,426.03,,392.43,15.97,100.0,375.71,801.43,0.0
A,ta,layers_92,pread,1,128,185.27,,185.27,0,100.0,1051.72,1236.99,0.0
A,vacuum,baseline,baseline,3,128,701.69,,699.17,1.35,0.0,0.00,701.69,0.0
A,vacuum,layers_1,async,3,128,960.51,,959.85,2.12,100.0,299.51,1259.36,0.0
A,vacuum,layers_1,pread,1,128,969.21,,969.21,0,100.0,385.49,1354.70,0.0
A,vacuum,layers_12,async,3,128,552.48,,494.27,27.83,100.0,312.66,866.06,0.0
A,vacuum,layers_12,pread,1,128,184.68,,184.68,0,100.0,1393.82,1578.50,0.0
A,vacuum,layers_16,async,3,128,551.63,,547.62,4.17,100.0,314.78,866.41,0.0
A,vacuum,layers_16,pread,1,128,189.73,,189.73,0,100.0,1767.23,1956.96,0.0
A,vacuum,layers_2,async,3,128,962.38,,957.91,5.34,100.0,298.75,1260.99,0.0
A,vacuum,layers_2,pread,1,128,885.77,,885.77,0,100.0,553.50,1439.27,0.0
A,vacuum,layers_24,async,3,128,554.89,,551.31,3.48,100.0,328.12,887.93,0.0
A,vacuum,layers_24,pread,1,128,191.72,,191.72,0,100.0,2359.24,2550.96,0.0
A,vacuum,layers_3,async,3,128,967.75,,906.31,32.88,100.0,301.64,1269.44,0.0
A,vacuum,layers_3,pread,1,128,588.12,,588.12,0,100.0,561.67,1149.79,0.0
A,vacuum,layers_32,async,3,128,551.66,,550.76,1.93,100.0,344.56,896.22,0.0
A,vacuum,layers_32,pread,1,128,184.47,,184.47,0,100.0,3088.24,3272.71,0.0
A,vacuum,layers_4,async,3,128,556.01,,553.99,2.14,100.0,303.28,859.29,0.0
A,vacuum,layers_4,pread,1,128,185.80,,185.80,0,100.0,645.76,831.56,0.0
A,vacuum,layers_46,async,3,128,548.32,,488.05,28.55,100.0,363.86,912.18,0.0
A,vacuum,layers_46,pread,1,128,185.89,,185.89,0,100.0,4273.34,4459.23,0.0
A,vacuum,layers_5,async,3,128,548.68,,491.88,28.10,100.0,300.38,850.32,0.0
A,vacuum,layers_5,pread,1,128,214.86,,214.86,0,100.0,824.07,1038.93,0.0
A,vacuum,layers_6,async,3,128,555.83,,552.04,2.39,100.0,306.77,862.60,0.0
A,vacuum,layers_6,pread,1,128,185.46,,185.46,0,100.0,905.75,1091.21,0.0
A,vacuum,layers_64,async,3,128,552.13,,496.54,27.71,100.0,383.00,934.09,0.0
A,vacuum,layers_64,pread,1,128,191.37,,191.37,0,100.0,5814.25,6005.62,0.0
A,vacuum,layers_8,async,3,128,555.01,,549.63,4.05,100.0,307.14,864.53,0.0
A,vacuum,layers_8,pread,1,128,186.08,,186.08,0,100.0,1078.74,1264.82,0.0
A,vacuum,layers_92,async,3,128,558.37,,553.45,3.74,100.0,424.13,979.17,0.0
A,vacuum,layers_92,pread,1,128,185.10,,185.10,0,100.0,7577.90,7763.00,0.0
B,orig,baseline,baseline,3,128,727.79,,724.97,1.86,0.0,0.00,727.79,0.0
B,orig,layers_1,async,3,128,696.37,,692.08,27.15,100.0,261.35,957.72,0.0
B,orig,layers_1,pread,1,128,693.52,,693.52,0,100.0,348.63,1042.15,0.0
B,orig,layers_12,async,3,128,384.73,,375.53,5.08,100.0,278.26,663.80,0.0
B,orig,layers_12,pread,1,128,372.64,,372.64,0,100.0,1388.70,1761.34,0.0
B,orig,layers_16,async,3,128,379.37,,377.50,1.73,100.0,283.21,662.58,0.0
B,orig,layers_16,pread,1,128,380.98,,380.98,0,100.0,1740.03,2121.01,0.0
B,orig,layers_2,async,3,128,702.86,,680.37,23.57,100.0,263.89,969.50,0.0
B,orig,layers_2,pread,1,128,690.39,,690.39,0,100.0,442.80,1133.19,0.0
B,orig,layers_24,async,3,128,389.57,,386.36,1.99,100.0,292.16,681.73,0.0
B,orig,layers_24,pread,1,128,388.06,,388.06,0,100.0,2408.95,2797.01,0.0
B,orig,layers_3,async,3,128,691.50,,618.64,35.07,100.0,264.27,957.48,0.0
B,orig,layers_3,pread,1,128,691.96,,691.96,0,100.0,449.90,1141.86,0.0
B,orig,layers_32,async,3,128,378.68,,375.63,3.32,100.0,308.89,684.96,0.0
B,orig,layers_32,pread,1,128,384.28,,384.28,0,100.0,3053.58,3437.86,0.0
B,orig,layers_4,async,3,128,379.56,,375.02,6.05,100.0,267.29,646.30,0.0
B,orig,layers_4,pread,1,128,378.85,,378.85,0,100.0,542.56,921.41,0.0
B,orig,layers_46,async,3,128,382.89,,382.63,1.32,100.0,324.68,707.31,0.0
B,orig,layers_46,pread,1,128,378.56,,378.56,0,100.0,4241.19,4619.75,0.0
B,orig,layers_5,async,3,128,385.47,,380.77,3.45,100.0,269.98,655.68,0.0
B,orig,layers_5,pread,1,128,376.61,,376.61,0,100.0,643.32,1019.93,0.0
B,orig,layers_6,async,3,128,382.39,,377.20,5.95,100.0,270.69,662.29,0.0
B,orig,layers_6,pread,1,128,384.44,,384.44,0,100.0,730.27,1114.71,0.0
B,orig,layers_64,async,3,128,387.46,,382.62,2.89,100.0,349.20,736.66,0.0
B,orig,layers_64,pread,1,128,377.41,,377.41,0,100.0,5780.27,6157.68,0.0
B,orig,layers_8,async,3,128,382.12,,378.74,3.06,100.0,272.50,656.19,0.0
B,orig,layers_8,pread,1,128,378.98,,378.98,0,100.0,1005.91,1384.89,0.0
B,orig,layers_92,async,3,128,382.33,,374.49,4.63,100.0,412.71,798.21,0.0
B,orig,layers_92,pread,1,128,389.22,,389.22,0,100.0,8175.21,8564.43,0.0
B,ta,baseline,baseline,3,128,798.32,,793.68,21.75,0.0,0.00,798.32,0.0
B,ta,layers_1,async,3,128,1003.89,,932.63,33.94,100.0,262.81,1266.70,0.0
B,ta,layers_1,pread,1,128,1007.40,,1007.40,0,100.0,344.51,1351.91,0.0
B,ta,layers_12,async,3,128,597.78,,593.85,2.03,100.0,274.19,871.73,0.0
B,ta,layers_12,pread,1,128,596.79,,596.79,0,100.0,640.29,1237.08,0.0
B,ta,layers_16,async,3,128,590.36,,589.26,1.83,100.0,280.10,870.83,0.0
B,ta,layers_16,pread,1,128,583.34,,583.34,0,100.0,847.70,1431.04,0.0
B,ta,layers_2,async,3,128,998.64,,975.10,12.29,100.0,264.54,1263.18,0.0
B,ta,layers_2,pread,1,128,591.88,,591.88,0,100.0,441.32,1033.20,0.0
B,ta,layers_24,async,3,128,579.05,,578.59,0.45,95.8,291.17,870.22,0.0
B,ta,layers_24,pread,1,128,604.74,,604.74,0,100.0,874.04,1478.78,0.0
B,ta,layers_3,async,3,128,932.96,,928.22,21.32,100.0,265.48,1198.44,0.0
B,ta,layers_3,pread,1,128,590.79,,590.79,0,100.0,447.67,1038.46,0.0
B,ta,layers_32,async,3,128,565.08,,561.11,2.39,100.0,300.32,865.40,0.0
B,ta,layers_32,pread,1,128,582.72,,582.72,0,100.0,1004.27,1586.99,0.0
B,ta,layers_4,async,3,128,602.84,,601.58,1.90,100.0,265.21,868.05,0.0
B,ta,layers_4,pread,1,128,590.25,,590.25,0,100.0,447.85,1038.10,0.0
B,ta,layers_46,async,3,128,596.30,,536.19,28.55,84.8,315.78,912.08,0.0
B,ta,layers_46,pread,1,128,580.92,,580.92,0,100.0,1007.57,1588.49,0.0
B,ta,layers_5,async,3,128,602.58,,592.10,5.76,100.0,268.25,872.33,0.0
B,ta,layers_5,pread,1,128,596.49,,596.49,0,100.0,450.95,1047.44,0.0
B,ta,layers_6,async,3,128,603.22,,522.17,38.29,100.0,266.80,870.02,0.0
B,ta,layers_6,pread,1,128,604.95,,604.95,0,100.0,630.42,1235.37,0.0
B,ta,layers_64,async,3,128,569.61,,565.11,2.31,73.4,336.74,905.84,0.0
B,ta,layers_64,pread,1,128,591.74,,591.74,0,100.0,1044.21,1635.95,0.0
B,ta,layers_8,async,3,128,602.87,,601.16,1.13,100.0,270.53,873.40,0.0
B,ta,layers_8,pread,1,128,606.23,,606.23,0,100.0,627.17,1233.40,0.0
B,ta,layers_92,async,3,128,582.17,,576.06,3.07,42.4,380.66,960.20,0.0
B,ta,layers_92,pread,1,128,596.47,,596.47,0,100.0,1049.79,1646.26,0.0
B,vacuum,baseline,baseline,3,128,1023.14,,994.75,14.17,0.0,0.00,1023.14,0.0
B,vacuum,layers_1,async,3,128,916.27,,846.01,35.74,100.0,263.06,1179.52,0.0
B,vacuum,layers_1,pread,1,128,924.90,,924.90,0,100.0,347.11,1272.01,0.0
B,vacuum,layers_12,async,3,128,507.66,,504.60,1.87,100.0,275.22,783.62,0.0
B,vacuum,layers_12,pread,1,128,505.67,,505.67,0,100.0,1351.11,1856.78,0.0
B,vacuum,layers_16,async,3,128,506.57,,481.18,12.43,100.0,282.76,789.33,0.0
B,vacuum,layers_16,pread,1,128,492.96,,492.96,0,100.0,1705.95,2198.91,0.0
B,vacuum,layers_2,async,3,128,918.69,,851.37,32.52,100.0,262.99,1184.88,0.0
B,vacuum,layers_2,pread,1,128,912.32,,912.32,0,100.0,516.43,1428.75,0.0
B,vacuum,layers_24,async,3,128,530.97,,511.74,25.69,100.0,293.14,824.36,0.0
B,vacuum,layers_24,pread,1,128,511.38,,511.38,0,100.0,2361.59,2872.97,0.0
B,vacuum,layers_3,async,3,128,916.18,,907.11,36.75,100.0,265.78,1181.30,0.0
B,vacuum,layers_3,pread,1,128,913.09,,913.09,0,100.0,524.90,1437.99,0.0
B,vacuum,layers_32,async,3,128,510.67,,507.75,3.26,100.0,311.77,822.44,0.0
B,vacuum,layers_32,pread,1,128,512.75,,512.75,0,100.0,3055.34,3568.09,0.0
B,vacuum,layers_4,async,3,128,507.40,,501.18,3.61,100.0,266.38,773.78,0.0
B,vacuum,layers_4,pread,1,128,510.31,,510.31,0,100.0,612.75,1123.06,0.0
B,vacuum,layers_46,async,3,128,515.32,,513.81,31.79,100.0,327.99,842.75,0.0
B,vacuum,layers_46,pread,1,128,509.39,,509.39,0,100.0,4255.84,4765.23,0.0
B,vacuum,layers_5,async,3,128,503.15,,500.10,3.70,100.0,268.81,771.96,0.0
B,vacuum,layers_5,pread,1,128,508.82,,508.82,0,100.0,786.50,1295.32,0.0
B,vacuum,layers_6,async,3,128,510.78,,504.75,3.76,100.0,268.25,780.86,0.0
B,vacuum,layers_6,pread,1,128,506.07,,506.07,0,100.0,869.38,1375.45,0.0
B,vacuum,layers_64,async,3,128,508.35,,507.90,4.07,100.0,352.81,862.46,0.0
B,vacuum,layers_64,pread,1,128,517.58,,517.58,0,100.0,5860.11,6377.69,0.0
B,vacuum,layers_8,async,3,128,509.72,,508.20,0.72,100.0,270.55,780.30,0.0
B,vacuum,layers_8,pread,1,128,505.70,,505.70,0,100.0,1008.95,1514.65,0.0
B,vacuum,layers_92,async,3,128,518.76,,517.07,2.43,100.0,390.80,909.22,0.0
